	Exp56_EPB41L5_1_AGCTAG_TCA	Exp56_EPB41L5_2_AGCTAG_AGT	Exp56_CCIN_1_CTGATC_TCA	Exp56_CCIN_2_CTGATC_AGT	Exp33_IDE_11_GCTCAT_TCA	Exp33_DCTN6_11_GCTGTA_TCA	Exp33_UBA2_11_TGAGTG_AGT	Exp33_ETS2_11_TGCCGA_AGT	Exp33_ETS2_10_TGCCGA_TCA	Exp33_CHMP3_11_TGTTGG_AGT	Exp33_CHMP3_10_TGTTGG_TCA	Exp31_TPGS2_24_CCACTC_AAC	Exp31_TPGS2_25_CCACTC_CAG	Exp31_CDK4_24_GCCATG_AAC	Exp31_UBA2_24_TGAGTG_AAC	Exp32_CDK4_24_GCCATG_TCA	Exp32_ITPA_11_GCCTAA_AGT	Exp32_ITPA_10_GCCTAA_TCA	Exp32_UBA2_24_TGAGTG_TCA	Exp92_EPB41L5_1_GTAGCC_TCA	Exp92_ETS2_1_CGAAAC_AGT	Exp92_UBA2_1_GCCTAA_AAC
NAA11::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAA11::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAA15::exon	1	0	0	1	2	18	10	16	26	59	39	14	19	3	4	13	21	17	6	3	1	0
NAA15::intron	0	1	1	0	3	23	12	17	31	56	42	17	21	5	7	30	30	14	3	1	0	0
NAA16::exon	0	1	0	0	2	10	3	4	7	10	11	2	3	1	2	8	6	4	4	1	0	0
NAA16::intron	2	1	1	1	2	15	6	13	19	37	22	14	10	5	2	16	27	13	5	2	0	0
NAA20::exon	0	0	0	0	1	5	1	14	11	20	6	6	11	0	0	1	5	4	1	0	0	0
NAA20::intron	0	0	0	0	1	5	1	1	8	9	6	1	1	0	1	0	5	4	1	0	0	0
NAA25::exon	0	0	0	0	0	15	2	12	16	33	18	13	12	3	5	9	15	7	7	1	0	0
NAA25::intron	0	1	0	1	3	35	12	13	32	58	46	19	16	7	1	19	33	23	10	2	0	1
NAA30::exon	0	0	1	0	1	6	1	10	9	14	8	7	3	0	1	1	6	2	2	0	0	0
NAA30::intron	0	0	0	0	0	7	3	3	1	13	1	1	2	1	1	1	9	5	2	0	0	0
NAA35::exon	0	0	0	0	0	8	3	1	6	12	4	9	5	1	2	4	8	4	2	0	0	0
NAA35::intron	0	0	1	0	2	16	4	18	25	45	24	11	9	5	1	24	25	18	12	0	0	0
NAA38::exon	0	0	0	0	0	12	1	16	15	11	5	11	7	3	0	19	8	3	5	0	0	0
NAA38::intron	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NAA40::exon	0	0	2	0	0	4	1	10	2	16	10	5	6	2	2	2	9	2	2	0	0	0
NAA40::intron	1	0	0	0	0	1	0	10	6	10	9	5	0	2	1	1	3	4	0	0	0	0
NAA50::exon	0	0	1	3	3	35	4	20	28	59	38	29	22	4	2	8	32	16	5	0	0	0
NAA50::intron	0	0	1	0	3	19	4	11	16	43	16	15	10	1	3	9	33	18	10	3	0	0
NAA60::exon	0	0	0	0	1	6	0	5	1	12	5	6	2	0	0	1	2	0	1	0	0	0
NAA60::intron	0	0	1	0	1	2	2	5	7	17	8	4	2	1	3	4	4	5	6	0	0	0
NAA80::exon	0	0	0	0	0	0	0	0	3	2	0	2	1	0	0	0	0	0	0	0	0	0
NAA80::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAAA::exon	0	0	0	0	0	0	0	0	0	3	4	1	0	0	0	1	0	2	0	0	0	0
NAAA::intron	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0
NAALAD2::exon	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0
NAALAD2::intron	0	0	0	0	1	5	3	1	7	35	36	1	6	0	1	3	13	10	3	0	0	0
NAALADL1::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAALADL1::intron	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NAALADL2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAALADL2::intron	1	0	1	0	0	1	2	1	12	12	6	4	4	0	4	4	8	7	11	0	0	0
NAB1::exon	0	0	2	1	2	3	2	6	4	10	4	6	3	1	2	3	7	4	0	0	0	0
NAB1::intron	0	0	1	0	1	6	2	3	9	16	3	7	1	2	1	3	6	7	2	0	0	1
NAB2::exon	0	0	0	0	0	2	0	5	1	3	3	1	4	0	0	0	2	1	1	0	0	0
NAB2::intron	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NABP1::exon	0	0	0	0	0	5	1	4	7	13	3	3	0	1	2	3	6	2	2	0	0	0
NABP1::intron	0	1	0	0	0	3	1	0	0	2	1	0	2	0	0	0	2	0	0	0	0	0
NABP2::exon	0	0	0	0	0	4	1	6	7	10	3	5	3	1	1	2	5	3	1	0	0	0
NABP2::intron	0	0	0	0	0	0	0	1	1	3	2	0	0	0	0	1	0	0	0	0	0	0
NACA2::exon	0	0	0	0	0	0	0	1	3	0	2	0	1	0	0	1	1	1	0	0	0	0
NACA3P::exon	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
NACA4P::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NACA::exon	1	0	0	1	7	85	21	93	92	118	86	124	75	29	8	74	52	44	16	1	0	0
NACA::intron	0	0	0	0	1	17	4	9	13	43	16	7	9	5	3	9	8	9	1	0	0	1
NACAP10::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NACAP2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NACAP5::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NACAP6::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NACAP7::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NACAP7::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NACAP8::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NACC1::exon	1	1	0	1	2	9	1	8	5	10	8	4	3	0	0	1	2	5	3	0	0	0
NACC1::intron	1	0	0	0	2	6	1	5	8	16	8	3	2	2	1	1	4	3	0	1	0	0
NACC2::exon	0	0	0	0	0	3	3	0	2	4	5	4	4	2	1	2	3	0	0	0	0	0
NACC2::intron	1	0	0	2	0	5	1	10	11	23	13	13	5	2	1	6	15	11	4	0	0	1
NADK2-AS1::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADK2-AS1::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADK2::exon	0	0	1	0	0	5	0	4	5	7	3	7	7	0	0	1	2	2	0	0	0	0
NADK2::intron	0	0	0	0	0	10	2	6	5	10	5	4	4	1	1	3	9	10	1	0	0	0
NADK::exon	1	0	0	0	1	3	1	4	4	10	8	6	5	2	2	2	2	2	3	0	0	0
NADK::intron	0	0	0	0	0	11	3	3	8	20	9	3	4	3	3	2	7	3	0	0	0	0
NADSYN1::exon	0	0	0	0	0	1	0	0	3	1	2	3	2	0	0	1	2	2	0	0	0	0
NADSYN1::intron	0	0	0	0	0	3	4	11	7	15	5	5	3	2	2	5	6	5	8	0	0	0
NAE1::exon	0	0	1	0	1	13	2	10	17	20	14	16	16	3	1	7	17	3	1	0	0	0
NAE1::intron	0	0	0	0	1	10	2	8	14	25	14	10	5	1	1	5	7	13	3	0	0	0
NAF1::exon	0	0	0	0	0	0	2	3	0	12	7	3	2	1	0	4	2	0	1	0	0	0
NAF1::intron	0	0	0	0	2	15	2	12	19	38	18	9	5	8	1	24	16	13	5	0	0	0
NAGA::exon	0	0	0	0	0	4	0	2	5	5	4	1	1	0	1	0	1	1	1	0	0	0
NAGA::intron	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	2	2	1	1	0	0	0
NAGK::exon	0	0	0	0	1	2	1	4	4	8	4	1	1	0	0	1	2	2	0	1	0	0
NAGK::intron	0	0	0	0	1	3	2	2	4	9	4	1	2	0	1	1	2	4	1	0	0	0
NAGLU::exon	0	1	0	1	1	1	0	3	1	3	5	2	2	0	0	0	4	2	0	0	0	0
NAGLU::intron	0	0	0	0	1	5	2	2	5	5	0	4	3	0	0	1	3	1	3	0	0	0
NAGPA::exon	0	0	0	0	0	1	0	0	3	1	1	1	0	0	0	0	1	0	0	0	0	0
NAGPA::intron	0	0	0	0	0	0	1	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0
NAGS::exon	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NAGS::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAIF1::exon	0	0	0	0	0	2	0	1	2	0	1	0	0	0	0	1	1	1	0	0	0	0
NAIF1::intron	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0
NAIP::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAIP::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NALCN::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NALCN::intron	0	0	0	0	0	1	1	2	1	1	0	1	1	0	0	1	3	0	3	0	0	1
NAMA::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NAMA::intron	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAMPT::exon	0	0	0	1	0	6	1	4	9	17	6	12	6	1	0	8	12	6	1	0	0	0
NAMPT::intron	0	0	0	0	0	9	2	6	13	14	8	4	2	3	2	8	8	3	5	0	0	0
NAMPTP1::exon	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAMPTP2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAMPTP2::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAMPTP3::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOG::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOG::intron	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NANOGNB::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOGNB::intron	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOGNBP1::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOGNBP2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOGNBP3::exon	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NANOGP10::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOGP1::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOGP1::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOGP2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOGP3::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOGP4::exon	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NANOGP5::exon	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0
NANOGP6::exon	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NANOGP7::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOGP8::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOGP8::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOGP9::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOS1::exon	0	0	0	0	0	0	0	2	1	2	0	0	1	0	0	1	1	0	0	0	0	0
NANOS2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOS3::exon	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOS3::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANP::exon	0	0	0	0	0	10	3	1	4	4	6	4	5	0	0	2	11	2	1	0	0	0
NANP::intron	0	0	0	0	0	2	0	0	2	3	2	0	0	0	1	0	1	0	0	0	0	0
NANS::exon	0	0	0	0	1	4	0	5	8	8	2	5	1	1	1	2	1	3	0	0	0	0
NANS::intron	0	1	0	0	1	1	0	6	7	8	3	0	4	1	2	7	6	0	2	0	0	0
NAP1L1::exon	1	1	3	2	0	62	14	41	48	115	64	88	48	16	8	43	47	33	17	2	0	0
NAP1L1::intron	0	0	0	1	3	51	17	34	38	112	62	19	17	11	14	40	44	37	10	1	0	0
NAP1L1P1::exon	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NAP1L1P2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAP1L1P2::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAP1L1P3::exon	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAP1L2::exon	0	0	0	1	1	1	1	1	2	3	2	2	3	1	0	1	1	0	0	0	0	0
NAP1L3::exon	0	0	0	0	0	1	0	1	1	3	1	1	1	1	0	0	3	1	0	0	0	0
NAP1L4::exon	0	0	1	0	3	19	6	10	16	14	21	15	8	5	1	12	11	9	4	0	0	0
NAP1L4::intron	2	0	0	0	3	52	8	37	46	73	49	35	27	14	6	42	36	24	21	0	1	0
NAP1L4P1::exon	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
NAP1L4P2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAP1L4P3::exon	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NAP1L5::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAP1L6::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAPA::exon	0	0	0	0	0	1	1	3	4	11	6	0	1	0	0	1	5	1	0	0	0	0
NAPA::intron	0	0	1	0	1	5	2	9	7	25	7	1	2	2	1	3	7	4	3	2	0	0
NAPB::exon	0	0	1	0	0	3	0	3	3	9	2	6	5	0	1	6	2	5	0	0	0	0
NAPB::intron	0	1	0	0	1	15	4	9	15	38	20	8	6	4	6	17	18	7	7	1	0	0
NAPEPLD::exon	0	0	0	0	0	1	1	4	2	8	3	1	2	1	1	1	4	3	1	0	0	0
NAPEPLD::intron	0	0	0	0	0	9	2	5	8	9	5	4	5	1	1	5	11	10	2	0	0	2
NAPG::exon	0	0	0	0	0	5	2	0	8	11	6	3	1	0	0	4	2	1	1	0	0	0
NAPG::intron	0	0	0	0	0	11	2	5	10	11	10	7	4	1	0	4	6	1	0	2	0	0
NAPGP1::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAPGP2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAPGP2::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAPRT::exon	0	0	0	0	0	3	0	2	4	5	3	1	2	0	0	0	1	2	0	0	0	0
NAPRT::intron	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0
NAPSA::exon	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NAPSA::intron	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0
NAPSB::exon	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAPSB::intron	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NARF::exon	0	0	0	0	1	4	1	1	3	7	6	9	8	0	0	8	3	3	4	0	0	0
NARF::intron	0	0	0	0	0	2	2	5	1	13	6	7	1	4	1	3	6	2	1	0	0	0
NARS2::exon	0	0	1	0	0	5	1	3	8	13	3	5	8	1	0	3	2	3	2	0	0	0
NARS2::intron	1	0	2	2	1	24	4	26	25	65	25	13	19	3	5	18	28	20	13	1	0	1
NARS::exon	0	0	0	0	0	13	5	5	10	31	13	16	18	2	1	18	14	9	2	0	0	0
NARS::intron	0	0	0	0	0	2	0	1	2	12	4	2	2	0	0	2	0	2	1	0	0	0
NARSP2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NASP::exon	0	1	0	0	2	27	3	16	27	36	36	27	8	3	4	11	19	13	6	1	0	0
NASP::intron	0	0	0	1	0	32	17	20	38	60	35	13	7	2	3	19	24	17	8	0	0	0
NAT10::exon	0	0	0	0	4	8	3	7	13	34	14	12	4	0	3	1	7	3	1	0	0	0
NAT10::intron	0	0	0	0	1	15	5	12	19	27	16	4	3	2	2	5	17	9	1	0	0	0
NAT14::exon	0	0	0	0	0	2	0	1	5	1	1	3	1	1	0	2	2	1	1	0	0	0
NAT14::intron	0	0	0	0	0	1	1	0	0	1	1	2	1	0	0	2	1	1	0	0	0	0
NAT16::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAT16::intron	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
NAT1::exon	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0
NAT1::intron	0	0	0	0	0	0	1	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0
NAT2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NAT2::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAT8::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAT8::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAT8B::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAT8L::exon	0	0	0	0	1	4	0	5	1	11	4	6	5	4	0	2	6	3	2	0	0	0
NAT8L::intron	0	0	0	0	1	0	1	0	1	6	1	0	1	0	0	1	1	1	0	0	0	0
NAT9::exon	0	0	0	0	0	2	2	2	6	5	6	3	3	0	0	2	4	1	3	0	0	0
NAT9::intron	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
NATD1::exon	0	0	0	0	0	1	1	2	1	3	2	0	2	0	0	2	1	1	0	0	0	0
NATD1::intron	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
NATP::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAV1::exon	1	0	0	0	0	6	2	3	7	7	6	12	3	0	0	1	3	2	4	0	0	0
NAV1::intron	0	0	0	0	1	5	2	6	5	10	7	1	4	0	2	2	5	5	1	0	0	0
NAV2-AS5::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAV2-AS5::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAV2-IT1::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAV2-IT1::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAV2::exon	0	0	0	0	0	2	1	0	1	1	1	3	2	0	0	2	1	0	1	0	0	0
NAV2::intron	0	0	0	0	0	10	3	4	10	20	16	12	6	3	4	8	8	5	5	0	0	0
NAV3::exon	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0
NAV3::intron	0	0	0	0	0	0	2	2	0	11	6	1	0	0	1	0	3	5	2	0	0	0
NAXE::exon	0	0	0	0	0	3	3	10	7	12	2	7	4	0	1	2	4	10	1	0	0	0
NAXE::intron	0	0	0	0	0	1	1	1	0	1	2	0	0	0	0	1	1	0	0	0	0	0
NBAS::exon	0	0	1	0	1	12	5	4	4	9	7	15	9	1	1	3	5	6	4	0	0	0
NBAS::intron	0	1	1	0	1	37	14	17	44	87	48	25	18	4	9	32	33	28	17	4	0	0
NBDY::exon	0	0	0	0	3	5	2	6	5	16	5	10	5	2	1	6	4	2	0	0	0	0
NBDY::intron	0	0	0	0	1	15	4	9	29	41	19	9	11	5	4	17	19	7	5	0	0	0
NBEA::exon	0	0	0	0	0	6	1	6	12	16	8	8	6	1	0	2	8	6	2	0	0	0
NBEA::intron	0	1	0	1	1	81	25	47	86	148	89	49	40	11	21	41	98	53	34	3	0	0
NBEAP1::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBEAP1::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBEAP3::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBEAP3::intron	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0
NBEAP5::exon	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0
NBEAP5::intron	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBL1::exon	0	0	0	0	1	1	1	2	0	2	2	2	2	0	0	0	1	0	0	0	0	0
NBL1::intron	0	0	0	0	0	0	0	2	1	1	0	1	1	0	0	0	1	0	2	0	0	0
NBN::exon	0	0	3	0	1	10	1	7	9	17	9	6	5	0	1	2	6	5	3	0	0	0
NBN::intron	0	0	0	0	0	5	1	4	5	13	9	4	6	1	1	3	7	3	1	0	0	0
NBPF11::exon	0	0	0	0	0	1	0	1	1	1	2	2	1	0	0	1	1	0	1	0	0	0
NBPF11::intron	0	0	0	0	1	6	0	4	3	10	5	3	4	3	2	6	4	6	3	0	0	0
NBPF13P::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF13P::intron	0	0	0	0	0	1	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0
NBPF14::exon	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0
NBPF14::intron	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0
NBPF15::exon	0	0	0	0	0	5	1	1	3	3	3	1	1	0	0	3	1	2	1	0	0	0
NBPF15::intron	0	0	0	0	0	13	5	3	8	11	2	1	3	1	4	8	4	9	1	0	0	0
NBPF17P::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF17P::intron	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	0	1	0	0	0
NBPF18P::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF18P::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF19::exon	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0
NBPF19::intron	0	0	0	0	0	0	1	0	1	2	2	0	1	0	1	1	1	1	1	0	0	0
NBPF21P::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF21P::intron	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NBPF22P::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF22P::intron	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF25P::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF25P::intron	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
NBPF2P::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF2P::intron	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NBPF3::exon	0	0	0	0	0	0	2	2	2	3	3	0	2	0	0	1	0	1	0	0	0	0
NBPF3::intron	0	0	0	0	1	5	2	8	9	10	14	5	4	1	3	7	8	4	6	0	0	0
NBPF5P::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF5P::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF7::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF7::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NBPF8::exon	0	0	0	0	0	1	0	0	1	0	3	2	0	0	0	0	0	1	2	0	0	0
NBPF8::intron	0	0	0	0	0	0	2	0	4	4	2	1	1	0	0	1	1	0	1	0	0	0
NBPF9::exon	0	0	0	0	0	1	2	1	2	2	1	0	1	0	0	0	0	0	0	0	0	0
NBPF9::intron	0	0	0	0	0	2	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0
NBR1::exon	0	0	0	0	0	18	4	7	11	19	8	13	17	1	1	5	7	2	3	1	0	0
NBR1::intron	0	0	0	0	0	3	1	3	5	11	3	4	5	0	1	4	3	3	2	0	0	0
NCALD::exon	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
NCALD::intron	0	0	1	2	0	4	3	0	3	4	1	4	1	1	1	5	12	4	3	0	0	0
NCAM1::exon	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
NCAM1::intron	2	1	1	0	0	25	15	6	19	33	20	21	18	11	7	30	20	14	16	0	0	0
NCAM2::exon	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NCAM2::intron	0	1	1	1	0	12	8	18	26	37	26	17	12	7	1	22	19	8	13	0	0	0
NCAN::exon	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
NCAN::intron	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAPD2::exon	1	0	1	1	1	27	9	15	16	53	32	23	15	2	3	12	21	10	9	0	0	0
NCAPD2::intron	0	0	0	0	1	10	1	9	11	17	10	7	8	1	0	16	7	6	4	0	0	0
NCAPD2P1::exon	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NCAPD3::exon	1	0	0	0	2	21	6	17	26	36	14	17	14	3	4	13	14	9	11	2	0	0
